file,collection,slug,route,primary_entity,primary_intent,page_role,target_user,decision_stage,unique_value,overlap_risk,recommended_action,info_gain,rendered
src\content\core\heat-treatment\solution-treatment-aging.md,heatTreatment,solution-treatment-aging,/heat-treatment/solution-treatment-aging/,solution-treatment-aging,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\heat-treatment\stress-relief.md,heatTreatment,stress-relief,/heat-treatment/stress-relief/,stress-relief,Entity Detail,Entity Detail,Engineer,Process Selection,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\corrosion\acid-resistance.md,corrosion,acid-resistance,/corrosion/acid-resistance/,acid-resistance,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\corrosion\chloride-scc.md,corrosion,chloride-scc,/corrosion/chloride-scc/,chloride-scc,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,35,YES
src\content\core\corrosion\galvanic.md,corrosion,galvanic,/corrosion/galvanic/,galvanic,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\corrosion\overview.md,corrosion,overview,/corrosion/overview/,overview,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\corrosion\prevention.md,corrosion,prevention,/corrosion/prevention/,prevention,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\core\corrosion\seawater.md,corrosion,seawater,/corrosion/seawater/,seawater,Entity Detail (Problem),Entity Detail (Problem),Engineer,Problem,direct answer,LOW,DEEPEN or MERGE,45,YES
src\content\derived\evidence\5-axis-machining-data.md,evidence,5-axis-machining-data,/evidence/5-axis-machining-data/,5-axis-machining-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\5-axis-tolerances.md,evidence,5-axis-tolerances,/evidence/5-axis-tolerances/,5-axis-tolerances,Evidence,Evidence,Engineer,Decision/Verification,quantitative data,LOW,WIRE (add route + render),80,NO
src\content\derived\evidence\bead-blasting-surface-roughness.md,evidence,bead-blasting-surface-roughness,/evidence/bead-blasting-surface-roughness/,bead-blasting-surface-roughness,Evidence,Evidence,Engineer,Decision/Verification,quantitative data,LOW,WIRE (add route + render),80,NO
src\content\derived\evidence\cnc-turning-parameters.md,evidence,cnc-turning-parameters,/evidence/cnc-turning-parameters/,cnc-turning-parameters,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\dmls-parameters.md,evidence,dmls-parameters,/evidence/dmls-parameters/,dmls-parameters,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\grade-1-properties.md,evidence,grade-1-properties,/evidence/grade-1-properties/,grade-1-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\grade-12-properties.md,evidence,grade-12-properties,/evidence/grade-12-properties/,grade-12-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\grade-2-properties.md,evidence,grade-2-properties,/evidence/grade-2-properties/,grade-2-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\grade-23-material-properties.md,evidence,grade-23-material-properties,/evidence/grade-23-material-properties/,grade-23-material-properties,Evidence,Evidence,Engineer,Decision/Verification,quantitative data,LOW,WIRE (add route + render),80,NO
src\content\derived\evidence\grade-3-properties.md,evidence,grade-3-properties,/evidence/grade-3-properties/,grade-3-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\grade-4-properties.md,evidence,grade-4-properties,/evidence/grade-4-properties/,grade-4-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\grade-5-milling-parameters.md,evidence,grade-5-milling-parameters,/evidence/grade-5-milling-parameters/,grade-5-milling-parameters,Evidence,Evidence,Engineer,Decision/Verification,quantitative data,LOW,WIRE (add route + render),80,NO
src\content\derived\evidence\grade-5-milling-roughing-data.md,evidence,grade-5-milling-roughing-data,/evidence/grade-5-milling-roughing-data/,grade-5-milling-roughing-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\grade-5-turning-parameters.md,evidence,grade-5-turning-parameters,/evidence/grade-5-turning-parameters/,grade-5-turning-parameters,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\grade-7-properties.md,evidence,grade-7-properties,/evidence/grade-7-properties/,grade-7-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\grade-9-properties.md,evidence,grade-9-properties,/evidence/grade-9-properties/,grade-9-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\machining-tolerances.md,evidence,machining-tolerances,/evidence/machining-tolerances/,machining-tolerances,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\surface-finish-comparison.md,evidence,surface-finish-comparison,/evidence/surface-finish-comparison/,surface-finish-comparison,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\ti-10-2-3-properties.md,evidence,ti-10-2-3-properties,/evidence/ti-10-2-3-properties/,ti-10-2-3-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (thin - deepen then render),30,NO
src\content\derived\evidence\ti-6al-4v-hardness-data.md,evidence,ti-6al-4v-hardness-data,/evidence/ti-6al-4v-hardness-data/,ti-6al-4v-hardness-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\ti-6al-4v-material-properties.md,evidence,ti-6al-4v-material-properties,/evidence/ti-6al-4v-material-properties/,ti-6al-4v-material-properties,Evidence,Evidence,Engineer,Decision/Verification,quantitative data,LOW,WIRE (add route + render),80,NO
src\content\derived\evidence\titanium-anodizing-properties.md,evidence,titanium-anodizing-properties,/evidence/titanium-anodizing-properties/,titanium-anodizing-properties,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-corrosion-data.md,evidence,titanium-corrosion-data,/evidence/titanium-corrosion-data/,titanium-corrosion-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-cost-data.md,evidence,titanium-cost-data,/evidence/titanium-cost-data/,titanium-cost-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-drilling-data.md,evidence,titanium-drilling-data,/evidence/titanium-drilling-data/,titanium-drilling-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-fatigue-data.md,evidence,titanium-fatigue-data,/evidence/titanium-fatigue-data/,titanium-fatigue-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-inspection-data.md,evidence,titanium-inspection-data,/evidence/titanium-inspection-data/,titanium-inspection-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-surface-roughness-standards.md,evidence,titanium-surface-roughness-standards,/evidence/titanium-surface-roughness-standards/,titanium-surface-roughness-standards,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\titanium-welding-data.md,evidence,titanium-welding-data,/evidence/titanium-welding-data/,titanium-welding-data,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\evidence\wire-edm-parameters.md,evidence,wire-edm-parameters,/evidence/wire-edm-parameters/,wire-edm-parameters,Evidence,Evidence,Engineer,Decision/Verification,reference,LOW,WIRE (add route + render),30,NO
src\content\derived\comparisons\5-axis-vs-3-axis-machining.md,comparisons,5-axis-vs-3-axis-machining,/compare/5-axis-vs-3-axis-machining/,5-axis-vs-3-axis-machining,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\anodizing-vs-passivation.md,comparisons,anodizing-vs-passivation,/compare/anodizing-vs-passivation/,anodizing-vs-passivation,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\cnc-machining-vs-dmls.md,comparisons,cnc-machining-vs-dmls,/compare/cnc-machining-vs-dmls/,cnc-machining-vs-dmls,Comparison,Comparison,Engineer,Decision,direct answer,HIGH (same-entity overlap),KEEP (rendered),45,YES
src\content\derived\comparisons\cp-titanium-vs-alloy-titanium.md,comparisons,cp-titanium-vs-alloy-titanium,/compare/cp-titanium-vs-alloy-titanium/,cp-titanium-vs-alloy-titanium,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\grade-2-vs-grade-5.md,comparisons,grade-2-vs-grade-5,/compare/grade-2-vs-grade-5/,grade-2-vs-grade-5,Comparison,Comparison,Engineer,Decision,direct answer,HIGH (same-entity overlap),KEEP (rendered),40,YES
src\content\derived\comparisons\grade-2-vs-grade-9.md,comparisons,grade-2-vs-grade-9,/compare/grade-2-vs-grade-9/,grade-2-vs-grade-9,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\grade-5-vs-grade-23.md,comparisons,grade-5-vs-grade-23,/compare/grade-5-vs-grade-23/,grade-5-vs-grade-23,Comparison,Comparison,Engineer,Decision,direct answer,HIGH (same-entity overlap),KEEP (rendered),55,YES
src\content\derived\comparisons\grade-5-vs-stainless-304.md,comparisons,grade-5-vs-stainless-304,/compare/grade-5-vs-stainless-304/,grade-5-vs-stainless-304,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\grade-5-vs-ti-6242.md,comparisons,grade-5-vs-ti-6242,/compare/grade-5-vs-ti-6242/,grade-5-vs-ti-6242,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\grade-9-vs-grade-5.md,comparisons,grade-9-vs-grade-5,/compare/grade-9-vs-grade-5/,grade-9-vs-grade-5,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\titanium-vs-aluminum.md,comparisons,titanium-vs-aluminum,/compare/titanium-vs-aluminum/,titanium-vs-aluminum,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\titanium-vs-carbon-fiber.md,comparisons,titanium-vs-carbon-fiber,/compare/titanium-vs-carbon-fiber/,titanium-vs-carbon-fiber,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
src\content\derived\comparisons\titanium-vs-inconel-718.md,comparisons,titanium-vs-inconel-718,/compare/titanium-vs-inconel-718/,titanium-vs-inconel-718,Comparison,Comparison,Engineer,Decision,direct answer,HIGH (same-entity overlap),KEEP (rendered),50,YES
src\content\derived\comparisons\titanium-vs-stainless-316l.md,comparisons,titanium-vs-stainless-316l,/compare/titanium-vs-stainless-316l/,titanium-vs-stainless-316l,Comparison,Comparison,Engineer,Decision,reference,HIGH (same-entity overlap),KEEP (rendered),30,YES
